Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future, Grant_Existing , Grant_FY , Grant_Future ,GO_Expended,Capital_Year_0, CapitalYear_1 ,Capital_Year_25,Grant_Expended,Grant_Year_0, Grant_Year_1 ,GrantYear_25,External_Funds,Total_Project_Budget
Boston Public Library,Research Collections Preservation and Storage Plan,"A planning study for the storage, preservation and security of the BPL's research collections.",Boston Public Library,Study Underway,Citywide,300000,0,0,0,0,0,0,100000,200000,0,0,0,0,0,0,300000
Boston Public Library,South End Branch Library Study,"This project will conduct a facility assessment, review neighborhood goals, develop an updated building program that reflects the BPL's strategic vision supporting the future needs of the neighborhood, and support additional interior improvements.",Public Facilities Department,In Design,South End,250000,750000,0,0,0,0,0,50000,200000,750000,0,0,0,0,0,1000000
Boston Public Library,Upham's Corner Library,Design and construct a new branch library that supports the needs of the neighborhood and reflects the Boston Public Library's Compass Principles.,Public Facilities Department,To Be Scheduled,Dorchester,5250000,0,12730000,0,0,0,0,0,0,17980000,0,0,0,0,0,17980000
Boston Public Schools,Accreditation Improvements at Various Schools,Renovate or make building improvements necessary to meet or maintain school building accreditation standards.,Boston Public Schools,Annual Program,Citywide,3000000,0,1000000,0,0,0,709284,500000,750000,2040716,0,0,0,0,0,4000000
Boston Public Schools,Adams School Roof and Masonry,Replace roof and repair parapet masonry.,Public Facilities Department,In Construction,East Boston,1090051,0,0,0,0,0,47665,1042386,0,0,0,0,0,0,0,1090051
Boston Public Schools,Bathroom Renovations at Various Schools,"Upgrade bathrooms at various schools, including fixtures, flooring, partitions, lighting, and paint.",Boston Public Schools,In Construction,Citywide,25000000,10000000,0,0,0,0,2559279,2500000,18500000,11440721,0,0,0,0,0,35000000
Boston Public Schools,Blackstone School Renovation,Study and design of major renovations to the Blackstone School.,Public Facilities Department,To Be Scheduled,South End,600000,19400000,0,0,0,0,0,0,400000,19600000,0,0,0,0,0,20000000
Boston Public Schools,Brighton High School Locker Rooms,Renovate locker rooms.,Public Facilities Department,In Construction,Allston/Brighton,4100000,0,0,0,0,0,164442,3165558,400000,370000,0,0,0,0,0,4100000
Boston Public Schools,BPS: 21st Century Schools Fund,Acquire new school furniture and technology to promote 21st century learning.,Boston Public Schools,Annual Program,Citywide,4103029,0,0,0,0,0,293151,1300000,300000,2209878,0,0,0,0,0,4103029
Boston Public Schools,BPS: Capital Maintenance,"Core maintenance work in various schools, including electrical, HVAC, masonry, and window repairs.",Boston Public Schools,Annual Program,Citywide,15460150,0,0,0,0,0,207206,500000,5000000,9752944,0,0,0,0,0,15460150
Boston Public Schools,BPS: MSBA ARP Reserve,Reserve for future MSBA Accelerated Repair Program projects.,Public Facilities Department,Annual Program,Citywide,0,0,12405592,0,0,0,0,0,0,12405592,0,0,0,0,0,12405592
Boston Public Schools,BPS: Reserve for Future Projects,Reserve for future and current BPS projects.,Public Facilities Department,Annual Program,Citywide,2619295,12380705,0,0,0,0,41323,100000,0,14858677,0,0,0,0,0,15000000
Boston Public Schools,Bus Monitor Technology,Purchase and install bus monitor technology to enhance transportation planning and operations.,Boston Public Schools,To Be Scheduled,Citywide,100000,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,100000
Boston Public Schools,Bus Navigation System,Purchase and install on-board guidance and navigation system for school buses.,Boston Public Schools,To Be Scheduled,Citywide,1345805,0,0,0,0,0,0,0,0,1345805,0,0,0,0,0,1345805
Boston Public Schools,Carter School,"Conduct a feasibility study and develop schematic design plans in conjunction with the MSBA that include spaces for beneficial and critical instructional activities, including aquatic, physical, creative arts, and multi-sensory therapies.",Public Facilities Department,In Construction,South End,65730795,0,8000000,26235737,0,0,2902594,4000000,45000000,21828201,971865,1000000,15000000,9263872,0,99966532
Boston Public Schools,Curley K-8 School,"Rebuild exterior bridge and walkway that connects the two school buildings, replace doors, install lighting, and add an accessible toilet room.",Public Facilities Department,In Construction,Jamaica Plain,3000000,0,0,0,0,0,1082360,1917640,0,0,0,0,0,0,0,3000000
Boston Public Schools,Drinking Water Upgrades at Various Schools,Upgrade plumbing and fixtures to expand the availability of drinking water at various schools.,Boston Public Schools,In Construction,Citywide,10360000,0,0,0,0,0,55991,125000,2000000,8179009,0,0,0,0,0,10360000
Boston Public Schools,Edwards School Renovation,Design and full renovation of building for use by the Horace Mann School.,Public Facilities Department,To Be Scheduled,Charlestown,500000,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,500000
Boston Public Schools,Entryway Improvements at Various Schools,"Improve entryways to create a more welcoming, calm, and safe environment, including upgrades to security, doors, lighting, and wayfinding at various schools.",Boston Public Schools,In Construction,Citywide,2000000,3000000,0,0,0,0,0,200000,2000000,2800000,0,0,0,0,0,5000000
Boston Public Schools,Fire Systems at Various Schools,Upgrade or replace fire alarms and/or fire protection systems at various schools.,Boston Public Schools,To Be Scheduled,Citywide,1000000,0,1500000,0,0,0,0,0,1250000,1250000,0,0,0,0,0,2500000
Boston Public Schools,Food and Nutritional Services Technology,Purchase and install point of sale system for food services at all schools.,Boston Public Schools,Implementation Underway,Citywide,740000,0,0,0,0,0,611531,128469,0,0,0,0,0,0,0,740000
Boston Public Schools,Grade K-6 School Conversions Phase 1,"Interior renovations to facilitate K-6 conversions at various schools, including adding/removing walls, installing lockers, and relocating offices.",Boston Public Schools,In Construction,Citywide,975000,0,0,0,0,0,319411,655589,0,0,0,0,0,0,0,975000
Boston Public Schools,Henderson Inclusion Lower School Windows,"Replace windows, add fire sprinklers, and make accessibility improvements.",Public Facilities Department,In Construction,Dorchester,10728239,0,0,0,0,0,2935298,4000000,3792941,0,0,0,0,0,0,10728239
Boston Public Schools,Horace Mann School Relocation,Infrastructure improvements associated with relocation to accommodate specialized programmatic needs for students with hearing impairments.,Public Facilities Department,In Construction,Charlestown,35900000,5700000,0,0,0,0,1128869,1500000,16000000,22971131,0,0,0,0,0,41600000
Boston Public Schools,Josiah Quincy Upper School,Design and construct a new facility for the Josiah Quincy Upper School. The MSBA will partner with the City in the development and funding of this new school.,Public Facilities Department,In Construction,Chinatown,156515501,0,0,67075966,0,0,20718624,30000000,87000000,18796877,14244625,4000000,35000000,13831341,0,223591467
Boston Public Schools,Mandela Athletic Complex Locker Rooms,Renovate women's locker rooms for Madison Park Technical Vocational High School and the O'Bryant School of Mathematics and Science.,Public Facilities Department,In Construction,Roxbury,8030325,0,0,0,0,0,1152487,500000,3000000,3377838,0,0,0,0,0,8030325
Boston Public Schools,Madison Park TVHS Electrical Improvements,Electrical upgrades at Madison Park Technical Vocational High School.,Public Facilities Department,In Construction,Roxbury,6000000,0,0,0,0,0,2823122,1776878,200000,1200000,0,0,0,0,0,6000000
Boston Public Schools,Mattahunt School,Safety upgrades at the Mattahunt Elementary School and exterior lighting work at the BCYF Center walkway/entrance.,Public Facilities Department,In Design,Mattapan,1020000,0,3165000,0,0,0,0,100000,600000,3485000,0,0,0,0,0,4185000
Boston Public Schools,Quincy School Exterior Upgrades,"Repair masonry and replace roof, windows, and exterior doors.",Public Facilities Department,In Design,Chinatown,21780705,0,0,0,0,0,318488,1000000,10000000,10462217,0,0,0,0,0,21780705
Boston Public Schools,Radiator Covers at Various Schools,Replace radiator covers at various schools.,Boston Public Schools,Implementation Underway,Citywide,1368000,1632000,0,0,0,0,269896,300000,500000,1930104,0,0,0,0,0,3000000
Boston Public Schools,ARP 2019: Roofs and Boilers at 3 Schools,"Replace boiler at the Lyon School and roofs at the Mel King Academy K-12 and Curley K-8 Schools, in conjunction with the MSBA Accelerated Repair Program.",Public Facilities Department,In Construction,Multiple Neighborhoods,3527867,0,0,3922740,0,0,2246324,500000,781543,0,2149278,750000,1023462,0,0,7450607
Boston Public Schools,School Yard Improvements,"Design and construct school yard improvements including new play structures, safety surfacing, and landscaping.",Public Facilities Department,Annual Program,Citywide,4074650,2400000,0,0,0,0,1268625,200000,1000000,4006025,0,0,0,0,0,6474650
Boston Public Schools,Security Related Improvements at Various Schools II,"Security-related improvements at various schools, including installing or upgrading PA and alarm systems.",Boston Public Schools,Annual Program,Citywide,3490000,0,0,0,0,0,0,1000000,1500000,990000,0,0,0,0,0,3490000
Boston Public Schools,UP Academy Dorchester,Replace unit ventilators.,Public Facilities Department,In Construction,Dorchester,4600000,0,0,0,0,0,151705,248295,1200000,3000000,0,0,0,0,0,4600000
Department of Innovation and Technology,Core Technology Infrastructure,"Install hardware platforms to run applications supporting City business. Scope includes equipment refresh for DWDM and BoNet equipment refresh, VoIP, firewall modernization, SQL environment recovery, and 700 MHz radio equipment and firmware.",Department of Innovation and Technology,Annual Program,Citywide,12669773,0,0,0,0,0,1654975,1500000,4100000,5414798,0,0,0,0,0,12669773
Department of Innovation and Technology,Cyber Security and Resiliency,Implement solutions to manage and mitigate cyber security risks.,Department of Innovation and Technology,Annual Program,Citywide,8668049,2000000,0,0,0,0,3513153,1000000,5000000,1154896,0,0,0,0,0,10668049
Department of Innovation and Technology,Data Analytics,"Invest in data analytic tools, technologies, and processes to empower data-driven management.",Department of Innovation and Technology,Annual Program,Citywide,4765516,4365649,0,0,0,0,2230994,750000,2000000,4150171,0,0,0,0,0,9131165
Department of Innovation and Technology,Digital Service Delivery and Engagement,Implement digital technology solutions that better engage residents with government.,Department of Innovation and Technology,Annual Program,Citywide,8433296,0,978609,0,0,0,3048232,600000,1000000,4763673,0,0,0,0,0,9411905
Department of Innovation and Technology,Enterprise Applications,Identify and procure enterprise business applications that enhance productivity and improve City business operations.,Department of Innovation and Technology,Annual Program,Citywide,27000000,0,0,0,0,0,14220398,1000000,3500000,8279602,0,0,0,0,0,27000000
Emergency Management,Emergency Operations Center,A programming and siting study for the development of an emergency operations center.,Public Facilities Department,To Be Scheduled,Citywide,1500000,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,1500000
Environment Department,Climate Ready Boston Harbor Study,Support the development of a study that will examine the feasibility of measures along and within the Boston Harbor to reduce vulnerability of coastal flooding due to sea level rise caused by climate change.,Environment Department,Study Underway,Multiple Neighborhoods,2000000,0,0,0,0,0,0,500000,1500000,0,0,0,0,0,3000000,5000000
Environment Department,Climate Ready Boston Phase 3,Climate resilience planning for City neighborhoods and municipal facilities affected by climate change.,Environment Department,To Be Scheduled,Citywide,991720,0,0,0,0,0,0,0,250000,741720,0,0,0,0,0,991720
Environment Department,Climate Resilience Reserve,Reserve for climate resilient capital investments.,Environment Department,Annual Program,Citywide,4955500,0,0,0,0,0,624871,0,1000000,3330629,0,0,0,0,0,4955500
Environment Department,Energy Efficiency Design Services,Design services to enhance the energy efficiency of municipal capital assets.,Environment Department,Implementation Underway,Citywide,325000,0,175000,16774,0,0,103685,150000,237690,8625,8625,0,0,8149,0,516774
Environment Department,Exterior Lighting Energy Performance,Identify energy retrofit project opportunities for City owned light fixtures.,Environment Department,To Be Scheduled,Citywide,10000000,0,0,1200000,0,0,0,0,2000000,8000000,0,0,400000,800000,0,11200000
Environment Department,Renew Boston Trust Phase 2,Identify energy retrofit project opportunities in City owned buildings that are self-financed by future energy savings. The City will implement the program through contracts with Energy Service Companies (ESCOs) that will guarantee the energy savings.,Public Facilities Department,In Construction,Citywide,20926000,0,0,415159,0,0,16930970,3500000,495030,0,369847,45312,0,0,0,21341159
Environment Department,Renew Boston Trust Phase 3,Identify energy retrofit project opportunities in City owned buildings that are self-financed by future energy savings. The City will implement the program through contracts with Energy Service Companies (ESCOs) that will guarantee the energy savings.,Public Facilities Department,In Construction,Citywide,65000000,50000000,0,1249014,0,6000000,0,9000000,10000000,96000000,0,1000000,1500000,4749014,0,122249014
Fire Department,Engine 17,Design and construct a new fire station.,Public Facilities Department,In Construction,Dorchester,30000000,0,0,0,0,0,2089916,2500000,14000000,11410084,0,0,0,0,0,30000000
Fire Department,Engine 3,Design and construct a new fire station.,Public Facilities Department,In Design,South End,3000000,0,0,0,0,0,0,100000,1500000,1400000,0,0,0,0,0,3000000
Fire Department,Engine 37,Design and construct a new fire station.,Public Facilities Department,To Be Scheduled,Fenway-Kenmore,2390000,0,610000,0,0,0,0,0,0,3000000,0,0,0,0,0,3000000
Fire Department,Fire Equipment FY24,"Purchase new fire apparatus for FY24 including three pumper trucks, two ladder trucks, and one tower ladder truck.",Boston Fire Department,Annual Program,Citywide,4550000,1200000,0,0,0,0,0,0,5750000,0,0,0,0,0,0,5750000
Fire Department,Fire Headquarters,"Building renovations at the Boston Fire Department Headquarters including a new roof, and the installation of sprinklers and an updated fire alarm system. Accessibility improvements are also planned.",Public Facilities Department,In Construction,Roxbury,6195000,0,0,0,0,0,126920,100000,3100000,2868080,0,0,0,0,0,6195000
Fire Department,Fire Radio System Upgrades,Design and implementation of upgrades to the Fire radio system.,Boston Fire Department,Implementation Underway,Citywide,46000000,0,0,0,0,0,8335690,10000000,10800000,16864310,0,0,0,0,0,46000000
Fire Department,Moon Island Seawall,Design for infrastructure improvements to seawall adjacent to the Fire Department Training Academy.,Public Facilities Department,In Design,Harbor Islands,2800000,13000000,0,0,0,0,22346,150000,2500000,13127654,0,0,0,0,0,15800000
Mayor's Office of Housing,Housing Infrastructure Fund,Investment in infrastructure to support affordable housing development.,Mayor's Office of Housing,Annual Program,Citywide,5000000,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,5000000
Office of Arts & Culture,Percent for the Arts,"One percent of the City’s annual planned bond issuance is designated for the commissioning of permanent, public art in municipal spaces. Site selection will be coordinated with projects in the capital plan.",Office of Arts and Culture,Annual Program,Citywide,13450000,4400000,0,0,0,0,1740350,500000,1000000,14609650,0,0,0,0,0,17850000
Office of New Urban Mechanics,Innovation Fund,"Work across departments to deploy innovative improvements on streets, online, and in schools using technology and cutting edge design.",Office of New Urban Mechanics,Annual Program,Citywide,200000,0,0,0,0,0,0,0,50000,150000,0,0,0,0,0,200000
Parks and Recreation Department,Animal Shelter,Develop a building program and assess siting options.,Public Facilities Department,In Design,Roxbury,5100000,0,0,0,0,0,49679,0,1500000,3550321,0,0,0,0,0,5100000
Parks and Recreation Department,Artificial Turf Replacement,"Annual program to replace artificial turf fields. High priority projects include Charlestown High School, Saunders Stadium at Moakley Park, and multi-purpose fields at East Boston Memorial Park.",Parks and Recreation Department,Annual Program,Citywide,6500000,2500000,0,0,0,0,2137146,1000000,2500000,3362854,0,0,0,0,250000,9250000
Parks and Recreation Department,Back Bay Fens Pathways,Rehabilitate pathways at the Back Bay Fens to improve accessibility and site conditions.,Parks and Recreation Department,In Design,Fenway-Kenmore,7500000,0,0,0,0,0,0,250000,500000,6750000,0,0,0,0,0,7500000
Parks and Recreation Department,Billings Field,"Design a comprehensive park renovation including fields, courts, and other park infrastructure.",Parks and Recreation Department,In Design,West Roxbury,4200000,0,0,0,0,0,0,75000,275000,3850000,0,0,0,0,0,4200000
Parks and Recreation Department,Boston Common Master Plan,Develop a master plan to bring the nation's oldest public park to the level of excellence commensurate with its historical importance and use by the City’s residents and visitors.,Parks and Recreation Department,Implementation Underway,Beacon Hill,0,0,0,22550000,0,0,0,0,0,0,823432,90000,100000,21536568,0,22550000
Parks and Recreation Department,Boston Common Tadpole Play Lot,"Revitalize the Boston Common playground including new play equipment, safety surfacing and site furnishings.",Parks and Recreation Department,In Design,Beacon Hill,1000000,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000
Parks and Recreation Department,Bussey Brook Meadow Trail at Arnold Arboretum,"Repair and extension of walking paths, wetland habitat restoration and improvements to Bussey Brook flood retention capacity.",Parks and Recreation Department,To Be Scheduled,Jamaica Plain,600000,0,0,0,0,0,0,0,25000,575000,0,0,0,0,0,600000
Parks and Recreation Department,Bynoe Park,Upgrades to play equipment.,Parks and Recreation Department,In Construction,Roxbury,1120000,0,0,0,0,0,49243,260000,810757,0,0,0,0,0,0,1120000
Parks and Recreation Department,Ceylon Park,"Design of park improvements including upgrades to artificial turf, sports lighting, basketball court, playgrounds, splash pad, spectator seating, and accessibility.",Parks and Recreation Department,In Design,Roxbury,500000,3600000,0,0,0,0,0,0,100000,4000000,0,0,0,0,0,4100000
Parks and Recreation Department,Christopher Columbus Park,"Playground renovation including play structure, safety surfacing, fencing, lighting, site furnishings, pathway repairs, drainage, signage, and green infrastructure to mitigate future sea level rise.",Parks and Recreation Department,To Be Scheduled,North End,3500000,0,0,0,0,0,0,0,0,3500000,0,0,0,0,0,3500000
Parks and Recreation Department,Clarendon Street Playground,Upgrade play equipment.,Parks and Recreation Department,In Design,Back Bay,1730000,0,0,0,0,0,80510,250000,1000000,399490,0,0,0,0,0,1730000
Parks and Recreation Department,Codman Square,Implementation of redesign of Codman Square Park.,Parks and Recreation Department,In Design,Dorchester,640000,0,0,0,0,0,4485,50000,500000,85515,0,0,0,0,1170000,1810000
Parks and Recreation Department,Commonwealth Avenue Mall: Kenmore Block,"Design for improvements to pathways, site furnishings, utilities, storm water infrastructure, irrigation, and plantings.",Parks and Recreation Department,In Design,Fenway-Kenmore,250000,0,0,0,0,0,0,50000,150000,50000,0,0,0,0,0,250000
Parks and Recreation Department,Copley Square Park,Complete park redesign to optimize resiliency to high traffic events and storm-water.,Parks and Recreation Department,In Construction,Back Bay,18850000,0,0,0,0,0,698743,800000,8000000,9351257,0,0,0,0,0,18850000
Parks and Recreation Department,Coppens Square,Design and construction of park improvements including replacement of the Mayor Theodore Lyman fountain that was removed in 1951.,Parks and Recreation Department,In Design,Dorchester,1475000,0,0,0,0,0,0,0,250000,1225000,0,0,0,0,0,1475000
Parks and Recreation Department,Crawford Street Playground,"Design for a comprehensive park improvement including play area, little league field, and passive areas.",Parks and Recreation Department,In Construction,Roxbury,1800000,0,0,0,0,0,85120,100000,250000,1364880,0,0,0,0,0,1800000
Parks and Recreation Department,Cutillo Park,"Design for a comprehensive park renovation including drainage, play lot, courts, passive areas, pathways, landscaping, site furnishings and infrastructure.",Parks and Recreation Department,In Construction,North End,2000000,0,0,0,0,0,118463,250000,1631537,0,0,0,0,0,0,2000000
Parks and Recreation Department,Daisy Field at Olmsted Park,"Park renovation including two softball fields, pathways, and LED sports lighting.",Parks and Recreation Department,In Design,Jamaica Plain,1140000,0,0,0,0,0,9338,50000,150000,930662,0,0,0,0,0,1140000
Parks and Recreation Department,Dudley Town Common,"Improvements to Dudley Town Common to support the use of this neighborhood ""Common"" for gathering and civic uses.",Parks and Recreation Department,In Design,Roxbury,972000,0,298000,0,0,0,6545,50000,250000,963455,0,0,0,0,0,1270000
Parks and Recreation Department,Mary Ellen Welch Greenway,"Design of comprehensive park improvements including sea level rise mitigation, stormwater management upgrades, improvements to pathways, furnishings, plantings and murals.",Parks and Recreation Department,In Design,East Boston,3300000,0,0,0,0,0,0,0,50000,3250000,0,0,0,0,0,3300000
Parks and Recreation Department,Field Lights at Various Parks,Upgrade park field lights at various locations including Hemenway Park and Fallon Field.,Parks and Recreation Department,Annual Program,Citywide,2700000,0,0,0,0,0,69050,0,200000,2430950,0,0,0,0,0,2700000
Parks and Recreation Department,Flaherty (William F.) Playground,Upgrade play lot.,Parks and Recreation Department,In Design,Jamaica Plain,1930000,0,0,0,0,0,49571,250000,1630429,0,0,0,0,0,0,1930000
Parks and Recreation Department,Fort Point Channel Park,"Design and implementation of a signature, climate resilient waterfront park along the Fort Point Channel. Federal funding is anticipated.",Parks and Recreation Department,To Be Scheduled,South Boston,10000000,0,0,0,0,10000000,0,500000,700000,8800000,0,250000,300000,9450000,0,20000000
Parks and Recreation Department,Franklin Park Master Plan,"Consistent with the goals of Imagine Boston 2030, develop a master plan that will enhance historic Franklin Park as a keystone park in the geographical heart of the City.",Parks and Recreation Department,Implementation Underway,Multiple Neighborhoods,0,0,0,22750000,0,0,0,0,0,0,1049602,325000,250000,21125398,0,22750000
Parks and Recreation Department,General Parks Improvements,"Replace fencing, pavement, court lighting, and other infrastructure improvements needed.",Parks and Recreation Department,Annual Program,Citywide,2650000,1350000,0,0,0,0,699666,1000000,1000000,1300334,0,0,0,0,0,4000000
Parks and Recreation Department,Justice Gourdin Veterans Memorial Park,"Major park renovation including pathways, walls, plazas, ADA improvements, and landscaping.",Parks and Recreation Department,In Construction,Roxbury,1455000,0,0,0,0,0,487047,967953,0,0,0,0,0,0,0,1455000
Parks and Recreation Department,Malcolm X Park,"Design and construction of a comprehensive park renovation excluding fields, which were recently renovated.",Parks and Recreation Department,In Construction,Roxbury,7125000,1150000,0,750000,0,0,611594,3500000,4000000,163406,0,200000,450000,100000,2000000,11025000
Parks and Recreation Department,McGann Playground,Upgrade play lot.,Parks and Recreation Department,In Design,Hyde Park,765000,280000,0,0,0,0,55841,75000,700000,214159,0,0,0,0,0,1045000
Parks and Recreation Department,McKinney Playground,Partial implementation of the master plan including ball field renovations and pathway improvements.,Parks and Recreation Department,In Design,Allston/Brighton,1010000,1000000,0,0,0,0,45000,75000,300000,1590000,0,0,0,0,750000,2760000
Parks and Recreation Department,Millennium Park,"Design and construction of play lot improvements, pathway repaving, and installation of modular bathroom facilities.",Parks and Recreation Department,In Construction,West Roxbury,5275000,0,0,0,0,0,206064,3500000,1568936,0,0,0,0,0,0,5275000
Parks and Recreation Department,Moakley Park,Implementation of master plan for Moakley Park. This project will redesign the park including climate resilience features to mitigate flood risk.,Parks and Recreation Department,In Design,South Boston,7200000,30659765,0,1500000,0,10987200,3402115,900000,1500000,32057650,1500000,0,0,10987200,0,50346965
Parks and Recreation Department,Mother's Rest at Four Corners,Design for comprehensive park improvements including play area and passive areas.,Parks and Recreation Department,In Design,Dorchester,1610000,170000,0,0,0,0,113901,100000,1400000,166099,0,0,0,0,0,1780000
Parks and Recreation Department,Odom Serenity Garden,Design park improvements in conjunction with DND for a park named in memory of Steven P. Odom.,Parks and Recreation Department,In Design,Dorchester,50000,0,0,0,0,0,23705,26295,0,0,0,0,0,0,500000,550000
Parks and Recreation Department,Park Planning Studies,"Planning and related landscape design services including: capital phasing plans, development of standard details and specifications and miscellaneous planning services.",Parks and Recreation Department,Annual Program,Citywide,332383,0,0,0,0,0,39050,0,100000,193333,0,0,0,0,0,332383
Parks and Recreation Department,Penniman Road Play Area,"Design for a comprehensive park renovation including drainage, play lot, courts, passive areas, pathways, landscaping, site furnishings and infrastructure.",Parks and Recreation Department,To Be Scheduled,Allston/Brighton,2050000,0,0,0,0,0,0,0,100000,1950000,0,0,0,0,270000,2320000
Parks and Recreation Department,Peters Park Ballfield,Address drainage issues on Little League Field.,Parks and Recreation Department,In Design,South End,500000,0,0,0,0,0,0,0,250000,250000,0,0,0,0,0,500000
Parks and Recreation Department,Ramsay Park Ballfield,"Ball field renovations including irrigation, site utilities, seating, backstop, fencing, and site furnishings.",Parks and Recreation Department,In Design,South End,920000,650000,0,0,0,0,0,40000,300000,1230000,0,0,0,0,0,1570000
Parks and Recreation Department,Ryan Play Area,Design for a comprehensive park improvements including play area and passive areas.,Parks and Recreation Department,In Construction,Dorchester,1470000,0,0,0,0,0,143673,750000,576327,0,0,0,0,0,0,1470000
