,Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future, Grant_Existing , Grant_FY , Grant_Future ,GO_Expended,Capital_Year_0, CapitalYear_1 ,Capital_Year_25,Grant_Expended,Grant_Year_0, Grant_Year_1 ,GrantYear_25,External_Funds,Total_Project_Budget
0,0,BCYF Security and Technology Upgrades,improvements to technology infrastructure and security systems including cameras at all stand alone sites,Boston Centers for Youth and Families,To Be Scheduled,Citywide,750000,1250000,0,0,0,0,0,0,100000,1900000,0,0,0,0,0,2000000.0
1,0,BCYF Tobin Community Center Retaining Wall,repair or replace the retaining wall adjacent to the bcyf tobin community center,Public Facilities Department,In Design,Mission Hill,1800000,0,0,0,0,0,0,100000,1500000,200000,0,0,0,0,0,1800000.0
2,0,BCYF North End Community Center,develop a design for a new north end community center,Public Facilities Department,In Design,North End,5000000,63000000,0,0,0,0,0,400000,3000000,64600000,0,0,0,0,20000000,88000000.0
3,0,Pool Repairs,renovate and upgrade locker rooms and pools including filtration systems pool liners and dehumidification and hvac systems at various bcyfbps pool facilities,Boston Centers for Youth and Families,Annual Program,Citywide,1300000,1000000,0,0,0,0,383450,450000,700000,766550,0,0,0,0,0,2300000.0
4,0,Youth Budget Round 4,engage youth across the city to create a capital youth budget using participatory budgeting methods,Youth Engagement and Employment,Implementation Underway,Citywide,1000000,0,0,0,0,0,17140,25000,250000,707860,0,0,0,0,0,1000000.0
5,0,Youth Budget Round 5,engage youth across the city to create a capital youth budget using participatory budgeting methods,Youth Engagement and Employment,Implementation Underway,Citywide,1000000,0,0,0,0,0,0,0,50000,950000,0,0,0,0,0,1000000.0
6,0,Youth Budget Round 6,engage youth across the city to create a capital youth budget using participatory budgeting methods,Youth Engagement and Employment,Implementation Underway,Citywide,1000000,0,0,0,0,0,532285,5000,250000,212715,0,0,0,0,0,1000000.0
7,0,Youth Budget Round 7,engage youth across the city to create a capital youth budget using participatory budgeting methods,Youth Engagement and Employment,Implementation Underway,Citywide,1000000,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000.0
8,0,Youth Budget Round 8,engage youth across the city to create a capital youth budget using participatory budgeting methods,Youth Engagement and Employment,Implementation Underway,Citywide,1000000,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000.0
9,1,RLFMP Dry-dock 4,develop a design for the permanent closure of the drydock 4 caisson,Boston Planning and Development Agency,In Design,South Boston,250000,0,0,0,0,0,199473,0,50527,0,0,0,0,0,0,250000.0
