cabinet,dept,program,expense_category,fy21_actual_expense,fy22_actual_expense,fy23_appropriation,fy24_adopted,fy24_change_from_fy23
Mayor's Cabinet,Mayor's Office,Mayor's Administration,Personnel Services,1820538.46,1624903.69,1584054.209,1921403.81,337349.601
Mayor's Cabinet,Mayor's Office,Mayor's Administration,Contractual Services,127557.82,284597.9,99314.0,219633.42,120319.42000000001
Mayor's Cabinet,Mayor's Office,Mayor's Administration,Supplies & Materials,27318.17,28541.55,44938.0,55573.65,10635.650000000001
Mayor's Cabinet,Mayor's Office,Mayor's Administration,Current Charges & Obligations,11365.77,19410.3,29630.0,16734.29,-12895.71
Mayor's Cabinet,Mayor's Office,Mayor's Administration,Equipment,39040.6,16164.36,24900.0,36115.0,11215.0
Mayor's Cabinet,Mayor's Office,Mayor's Executive,Personnel Services,403120.39,583859.32,377948.0895,387298.7,9350.61050000001
Mayor's Cabinet,Mayor's Office,Mayor's Executive,Contractual Services,-25.0,,,,
Mayor's Cabinet,Mayor's Office,Mayor's Policy & Planning,Personnel Services,1603125.26,768993.95,1916580.116,1464593.364,-451986.75199999986
Mayor's Cabinet,Mayor's Office,Mayor's Policy & Planning,Contractual Services,207821.35,253549.07,389079.0,174000.0,-215079.0
Mayor's Cabinet,Mayor's Office,Mayor's Policy & Planning,Supplies & Materials,,,,3000.0,
Mayor's Cabinet,Mayor's Office,Mayor's Policy & Planning,Current Charges & Obligations,,1685.9,,2000.0,
Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Personnel Services,416898.77,438308.77,604730.0887,669210.3615,64480.272800000035
Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Contractual Services,16082.69,583.44,28800.0,100000.0,71200.0
Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Supplies & Materials,2187.03,164.98,5961.0,6361.0,400.0
Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Current Charges & Obligations,5856.76,1190.52,6400.0,4500.0,-1900.0
Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Equipment,34717.16,22128.0,100.0,22000.0,21900.0
Mayor's Cabinet,Mayor's Office,Mayor's Communications,Personnel Services,708665.4,762365.75,1028638.497,1349000.703,320362.206
